Unnamed: 0,id,original_language,title,overview,popularity,release_date,vote_average,vote_count
5137,11430,en,The Lion King 1½,timon the meerkat and pumbaa the warthog are best pals and the unsung heroes of the african savanna. this prequel to the smash disney animated adventure takes you back -- way back -- before simba's adventure began. you'll find out all about timon and pumbaa and tag along as they search for the perfect home and attempt to raise a rambunctious lion cub.,55.413,2004-02-06,6.584,2923
7784,9096,en,Medicine Man,"an eccentric scientist working for a large drug company is working on a research project in the amazon jungle. he sends for a research assistant and a gas chromatograph because he's close to a cure for cancer. when the assistant turns out to be a ""mere woman,"" he rejects her help. meanwhile the bulldozers get closer to the area in which they are conducting research, and they eventually learn to work together, and begin falling in love.",18.528,1992-02-07,6.0,364
32,324857,en,Spider-Man: Into the Spider-Verse,"struggling to find his place in the world while juggling school and family, brooklyn teenager miles morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only spider-man. while wrestling with the implications of his new abilities, miles discovers a super collider created by the madman wilson ""kingpin"" fisk, causing others from across the spider-verse to be inadvertently transported to his dimension.",98.813,2018-12-06,8.401,15374
2951,13751,en,Akeelah and the Bee,"akeelah is a precocious 11-year-old girl from south los angeles with a gift for words. despite her mother's objections, akeelah enters various spelling contests, for which she is tutored by the forthright dr. larabee, her principal mr. welch, and the proud residents of her neighborhood. akeelah's aptitude earns her an opportunity to compete for a spot in the scripps national spelling bee.",30.298,2006-04-28,7.07,316
3455,12502,en,Silkwood,"the story of karen silkwood, a metallurgy worker at a plutonium processing plant who was purposefully contaminated, psychologically tortured and possibly murdered to prevent her from exposing blatant worker safety violations at the plant.",23.494,1983-12-14,7.0,313
9117,481762,fr,"Neuilly sa mère, sa mère !","in 2008, sami benboudaoud discovered the hell of neuilly-sur-seine. ten years later, now that everything is for the best for sami who brilliantly completes his studies of political science, nothing will go for his cousin charles of chazelle.",8.936,2018-08-08,5.333,324
6458,279641,en,Whiskey Tango Foxtrot,"in 2002, cable news producer kim barker decides to shake up her routine by taking a daring new assignment in kabul, afghanistan. dislodged from her comfortable american lifestyle, barker finds herself in the middle of an out-of-control war zone. luckily, she meets tanya vanderpoel, a fellow journalist who takes the shell-shocked reporter under her wing. amid the militants, warlords and nighttime partying, barker discovers the key to becoming a successful correspondent.",17.105,2016-03-04,6.3,947
7811,13018,en,Deception,"as a corporate auditor who works in a number of different offices, jonathan mcquarry wanders without an anchor among new york's power brokers. a chance meeting with charismatic lawyer wyatt bose leads to jonathan's introduction to the list, an underground sex club. jonathan begins an affair with a woman known only as s, who introduces jonathan to a world of treachery and murder.",26.755,2008-04-24,5.963,641
1510,350312,te,Bāhubali 2: The Conclusion,"when mahendra, the son of bāhubali, learns about his heritage, he begins to look for answers. his story is juxtaposed with past events that unfolded in the mahishmati kingdom.",28.001,2017-04-27,7.4,719
9589,8046,en,Gigli,"gigli is ordered to kidnap the psychologically challenged younger brother of a powerful federal prosecutor. when plans go awry, gigli's boss sends in ricki, a gorgeous free-spirited female gangster who has her own set of orders to assist with the kidnapping. but gigli begins falling for the decidedly unavailable ricki, which could be a hazard to his occupation.",15.09,2003-08-01,4.0,451
3813,13179,en,Tinker Bell,"journey into the secret world of pixie hollow and hear tinker bell speak for the very first time as the astonishing story of disney's most famous fairy is finally revealed in the all-new motion picture ""tinker bell.""",60.388,2008-09-11,6.868,1380
8584,628917,en,An American Pickle,"an immigrant worker at a pickle factory is accidentally preserved for 100 years and wakes up in modern day brooklyn. he learns his only surviving relative is his great grandson, a computer coder who he can’t connect with.",15.412,2020-07-26,5.676,459
2901,18912,de,Angst,"a killer is released from prison and breaks into a remote home to kill a woman, her handicapped son and her pretty daughter.",16.214,1983-01-01,7.1,339
6836,35552,fr,The Extraordinary Adventures of Adèle Blanc-Sec,"an adventure set in the early part of the 20th century, focused on a popular novelist and her dealings with would-be suitors, the cops, monsters, and other distractions.",27.841,2010-04-09,6.208,1284
3072,8095,en,Cleopatra,"determined to hold on to the throne, cleopatra seduces the roman emperor julius caesar. when caesar is murdered, she redirects her attentions to his general, marc antony, who vows to take power—but caesar’s successor has other plans.",70.536,1963-06-12,7.04,729
1338,31767,en,The Devils,"in 17th-century france, father urbain grandier seeks to protect the city of loudun from the corrupt establishment of cardinal richelieu. hysteria occurs within the city when he is accused of witchcraft by the sexually repressed sister jeanne.",14.542,1971-07-16,7.5,357
9072,9827,en,Phantoms,"in the peaceful colorado town of snowfield, something evil has wiped out the community. and now, it's up to a group of people to stop it, or at least get out of snowfield alive.",16.055,1998-01-23,5.4,340
6408,83186,en,Wrong,"dolph springer wakes up one morning to realize he has lost the love of his life, his dog, paul. during his quest to get paul (and his life) back, dolph radically changes the lives of others -- risking his sanity all the while.",7.364,2012-09-05,6.304,331
7136,65759,en,Happy Feet Two,"mumble the penguin has a problem: his son erik, who is reluctant to dance, encounters the mighty sven, a penguin who can fly! things get worse for mumble when the world is shaken by powerful forces, causing him to brings together the penguin nations and their allies to set things right.",26.065,2011-11-17,6.134,1566
1633,273481,en,Sicario,an idealistic fbi agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the u.s. and mexico.,66.181,2015-09-17,7.4,8417
7289,198287,en,After the Dark,"at an international school in jakarta, a philosophy teacher challenges his class of twenty graduating seniors to choose which ten of them would take shelter underground and reboot the human race in the event of a nuclear apocalypse.",12.625,2013-07-06,6.1,666
4579,11211,en,Bring It On: All or Nothing,"a transfer student at a rough high school tries joining the cheer-leading squad and finds that she not only has to face off against the head cheerleader, but also against her former school in preparation for a cheer-off competition.",1.698,2006-07-18,6.704,798
6237,8960,en,Hancock,"hancock is a down-and-out superhero who's forced to employ a pr expert to help repair his image when the public grows weary of all the damage he's inflicted during his lifesaving heroics. the agent's idea of imprisoning the antihero to make the world miss him proves successful, but will hancock stick to his new sense of purpose or slip back into old habits?",37.118,2008-07-01,6.35,9442
1945,205587,en,The Judge,"a successful lawyer returns to his hometown for his mother's funeral only to discover that his estranged father, the town's judge, is suspected of murder.",45.654,2014-10-08,7.321,4005
2620,29005,en,McCabe & Mrs. Miller,"a gambler and a prostitute become business partners in a remote old west mining town, and their enterprise thrives until a large corporation arrives on the scene.",11.584,1971-06-24,7.1,383
8016,471507,en,Destroyer,"when erin bell was a young cop, she was given an undercover assignment that ended badly and destroyed her life. years later, she must face her demons in order to make peace with her past.",15.142,2018-12-25,5.898,696
9251,372343,en,The Snowman,detective harry hole investigates the disappearance of a woman whose pink scarf is found wrapped around an ominous looking snowman.,23.918,2017-08-24,5.211,2201
4816,157386,en,The Spectacular Now,"sutter, a popular party animal, unexpectedly meets the introverted aimee after waking up on a stranger's lawn. as sutter deals with the problems in his life and aimee plans for her future beyond school, an unexpected romance blossoms between them.",20.717,2013-08-02,6.655,2817
1925,486947,da,The Guilty,"police officer asger holm, demoted to desk work as an alarm dispatcher, answers a call from a panicked woman who claims to have been kidnapped. confined to the police station and with the phone as his only tool, asger races against time to get help and find her.",14.411,2018-02-22,7.325,1639
6330,420648,es,The Bar,"in downtown madrid, a series of mysterious gunshots trap a motley assortment of people in a decrepit bar.",13.505,2017-02-15,6.323,1287
6977,219572,zh,Police Story: Lockdown,"a man looking for the release of a long-time prisoner takes a police officer, his daughter, and a group of strangers hostage.",19.129,2013-12-24,6.169,355
